Pick,Name,Team Code,Position,Avg Pick,Min Pick,Max Pick,DraftYr
1,Clyde Edwards-Helaire,KCC,RB,1.83,1,10,2020
2,Jonathan Taylor,IND,RB,2.32,1,10,2020
3,JK Dobbins,BAL,RB,4.61,1,27,2020
4,D'Andre Swift,DET,RB,5.41,1,21,2020
5,CeeDee Lamb,DAL,WR,6.37,1,17,2020
6,Cam Akers,LAR,RB,6.48,1,19,2020
7,Jerry Jeudy,DEN,WR,7.23,1,18,2020
8,Joe Burrow,CIN,QB,8.46,1,30,2020
9,Justin Jefferson,MIN,WR,10.15,1,29,2020
10,Jalen Reagor,PHI,WR,11.93,3,34,2020
11,Henry Ruggs,LVR,WR,11.93,1,39,2020
12,Tua Tagovailoa,MIA,QB,13.11,1,56,2020
13,Ke'Shawn Vaughn,TBB,RB,14.35,2,68,2020
14,Tee Higgins,CIN,WR,15.71,6,48,2020
15,Michael Pittman,IND,WR,15.87,4,42,2020
16,Denzel Mims,NYJ,WR,17.25,6,45,2020
17,Brandon Aiyuk,SFO,WR,18.44,7,57,2020
18,Zack Moss,BUF,RB,20.81,4,75,2020
19,Justin Herbert,LAC,QB,21.06,2,72,2020
20,Laviska Shenault,JAC,WR,22.26,8,61,2020
21,Antonio Gibson,WAS,RB,23.64,4,69,2020
22,Bryan Edwards,LVR,WR,25.35,9,83,2020
23,Chase Claypool,PIT,WR,28.05,12,82,2020
24,Anthony McFarland,PIT,RB,29.92,10,80,2020
25,Jordan Love,GBP,QB,32.7,6,84,2020
26,Cole Kmet,CHI,TE,32.75,11,79,2020
27,Joshua Kelley,LAC,RB,33.27,11,98,2020
28,KJ Hamler,DEN,WR,33.32,6,73,2020
29,Van Jefferson,LAR,WR,35.28,14,77,2020
30,Devin Duvernay,BAL,WR,37.41,12,82,2020
31,Adam Trautman,NOS,TE,37.81,12,83,2020
32,Jalen Hurts,PHI,QB,38.1,5,82,2020
33,Lynn Bowden,MIA,RB,38.2,9,83,2020
34,Eno Benjamin,ARI,RB,42.13,5,93,2020
35,Tyler Johnson,TBB,WR,42.47,9,97,2020
36,Lamical Perine,NYJ,RB,42.62,16,88,2020
37,DeeJay Dallas,SEA,RB,43.32,17,84,2020
38,Jacob Eason,IND,QB,44.57,12,99,2020
39,Quintez Cephus,DET,WR,47.76,16,114,2020
40,Donovan Peoples-Jones,CLE,WR,50.07,25,95,2020
41,Gabriel Davis,BUF,WR,52.62,24,126,2020
42,Jake Fromm,BUF,QB,53.37,19,123,2020
43,Isaiah Coulter,HOU,WR,54.1,19,117,2020
44,KJ Hill,LAC,WR,54.51,24,114,2020
45,Joe Reed,LAC,WR,54.53,15,117,2020
46,Harrison Bryant,CLE,TE,55.38,20,116,2020
47,James Robinson,JAC,RB,55.43,11,132,2020
48,Dezmon Patmon,IND,WR,55.82,20,111,2020
49,John Hightower,PHI,WR,56.41,29,108,2020
50,Michael Warren,FA,RB,56.43,18,120,2020
51,James Proche,BAL,WR,56.58,23,123,2020
52,Raymond Calais,LAR,RB,56.63,26,118,2020
53,Jason Huntley,PHI,RB,56.77,29,112,2020
54,Darnell Mooney,CHI,WR,56.99,20,121,2020
55,Collin Johnson,JAC,WR,57.72,9,115,2020
56,Quez Watkins,PHI,WR,57.81,33,138,2020
57,Brycen Hopkins,LAR,TE,57.84,18,116,2020
58,Justin Rohrwasser,FA,PK,57.87,17,117,2020
59,Jeff Thomas,FA,WR,59.94,9,101,2020
60,Colby Parkinson,SEA,TE,60.24,24,130,2020
1,Josh Jacobs,OAK,RB,1.86,1,3,2019
2,Kyler Murray,ARI,QB,2.64,1,14,2019
3,N'Keal Harry,NEP,WR,3.86,1,9,2019
4,Miles Sanders,PHI,RB,5.79,3,11,2019
5,David Montgomery,CHI,RB,6.71,2,17,2019
6,TJ Hockenson,DET,TE,7.36,4,11,2019
7,Dwayne Haskins,WAS,QB,8.5,2,35,2019
8,AJ Brown,TEN,WR,9.21,1,15,2019
9,Noah Fant,DEN,TE,9.43,3,13,2019
10,DK Metcalf,SEA,WR,9.79,3,21,2019
11,Parris Campbell,IND,WR,12.14,6,17,2019
12,Deebo Samuel,SFO,WR,15.5,9,24,2019
13,Marquise Brown,BAL,WR,16,5,24,2019
14,Darrell Henderson,LAR,RB,16.07,6,27,2019
15,Hakeem Butler,ARI,WR,18.07,4,35,2019
16,JJ Arcega-Whiteside,PHI,WR,19.71,14,31,2019
17,Drew Lock,DEN,QB,19.93,14,33,2019
18,Andy Isabella,ARI,WR,21.86,13,28,2019
19,Daniel Jones,NYG,QB,22,10,59,2019
20,Irv Smith ,MIN,TE,22.93,15,37,2019
21,Damien Harris,NEP,RB,23.62,10,41,2019
22,Devin Singletary,BUF,RB,23.64,12,48,2019
23,Justice Hill,BAL,RB,25.36,10,35,2019
24,Mecole Hardman,KCC,WR,29.29,12,134,2019
25,Kelvin Harmon,WAS,WR,32.5,12,69,2019
26,Jace Sternberger,GBP,TE,33.5,23,56,2019
27,Diontae Johnson,PIT,WR,33.75,23,59,2019
28,Alexander Mattison,MIN,RB,34,14,77,2019
29,Elijah Holyfield,PHI,RB,35.33,30,39,2019
30,Miles Boykin,BAL,WR,35.86,26,48,2019
31,Easton Stick,LAC,QB,36,36,36,2019
32,Scott Miller,TBB,WR,38,38,38,2019
33,Darwin Thompson,KCC,RB,39.2,21,62,2019
34,Will Grier,CAR,QB,39.29,17,68,2019
35,Jalen Hurd,SFO,WR,39.79,29,56,2019
36,Bryce Love,WAS,RB,39.92,29,58,2019
37,Terry McLaurin,WAS,WR,40.38,28,74,2019
38,Riley Ridley,CHI,WR,40.75,5,72,2019
39,Benny Snell,PIT,RB,42.15,27,74,2019
40,Mike Weber,FA,RB,42.57,21,66,2019
41,Josh Oliver,JAC,TE,42.75,28,58,2019
42,Bruce Anderson,IND,RB,45.33,22,64,2019
43,Darrin Hall,PIT,RB,46,46,46,2019
44,Greg Dortch,LAR,WR,46.5,44,49,2019
45,Dexter Williams,GBP,RB,47.18,25,93,2019
46,Rodney Anderson,CIN,RB,47.56,24,70,2019
47,Alize Mack,KCC,TE,48,48,48,2019
48,Kahale Warring,HOU,TE,48.18,29,69,2019
49,Myles Gaskin,MIA,RB,48.86,20,58,2019
50,Trayveon Williams,CIN,RB,49.43,29,83,2019
51,Devine Ozigbo,JAC,RB,49.71,35,65,2019
52,Ryquell Armstead,JAC,RB,50.45,28,125,2019
53,Qadree Ollison,ATL,RB,50.5,48,53,2019
54,Dawson Knox,BUF,TE,50.91,29,67,2019
55,Stanley Morgan,CIN,WR,51.67,45,59,2019
56,Tony Pollard,DAL,RB,52.86,34,65,2019
57,Chandler Cox,MIA,RB,53,53,53,2019
58,Darius Slayton,NYG,WR,53.5,52,55,2019
59,Damarea Crockett,GBP,RB,54,54,54,2019
60,Alex Barnes,FA,RB,54.25,25,81,2019
1,Saquon Barkley,NYG,RB,5.58,1,420,2018
2,Royce Freeman,DEN,RB,40.03,1,434,2018
3,Derrius Guice,WAS,RB,45.53,1,421,2018
4,Kerryon Johnson,DET,RB,47.18,1,426,2018
5,Sony Michel,NEP,RB,49.14,1,423,2018
6,Rashaad Penny,SEA,RB,58.86,1,422,2018
7,Ronald Jones,TBB,RB,73.44,1,424,2018
8,Nick Chubb,CLE,RB,85.89,1,431,2018
9,Lamar Jackson,BAL,QB,87.36,2,449,2018
10,Josh Rosen,ARI,QB,87.52,1,439,2018
11,DJ Moore,CAR,WR,90.44,1,425,2018
12,Calvin Ridley,ATL,WR,93.22,2,428,2018
13,Baker Mayfield,CLE,QB,94.1,1,438,2018
14,Dante Pettis,SFO,WR,95.84,4,448,2018
15,Courtland Sutton,DEN,WR,98.47,2,443,2018
16,Sam Darnold,NYJ,QB,99.87,2,449,2018
17,DJ Chark,JAC,WR,100.04,5,518,2018
18,Christian Kirk,ARI,WR,100.1,3,437,2018
19,Josh Allen,BUF,QB,103.85,1,475,2018
20,Kalen Ballage,MIA,RB,104.19,6,491,2018
21,Nyheim Hines,IND,RB,104.57,3,429,2018
22,Michael Gallup,DAL,WR,104.64,2,444,2018
23,Anthony Miller,CHI,WR,104.72,2,427,2018
24,James Washington,PIT,WR,106.68,3,445,2018
25,DaeSean Hamilton,DEN,WR,107.91,4,633,2018
26,Dallas Goedert,PHI,TE,108,2,450,2018
27,Antonio Callaway,CLE,WR,108.11,4,545,2018
28,Equanimeous St Brown,GBP,WR,109.66,3,561,2018
29,Tre'Quan Smith,NOS,WR,110.99,3,508,2018
30,Mike Gesicki,MIA,TE,111.13,1,440,2018
31,J'Mon Moore,GBP,WR,111.44,2,549,2018
