Team,Name,DraftYr,Position,GamesPlayed,Receptions,Targets,Yards,Avg,Touchdowns,Long,BigPlays,YardsPerGame,Fumble,FumblesLost,YardsAfterCatch,FirstDowns,Year
NO,Michael Thomas,2016,WR,16,149,185,1725,12,9,49,17,108,1,0,582,91,2019
ATL,Julio Jones,2011,WR,15,99,157,1394,14,6,54,21,93,1,0,360,77,2019
TB,Chris Godwin,2017,WR,14,86,121,1333,16,9,71,25,95,0,0,591,63,2019
MIA,DeVante Parker,2015,WR,16,72,128,1202,17,9,51,21,75,0,0,291,58,2019
LAC,Keenan Allen,2013,WR,16,104,149,1199,12,6,45,15,75,0,0,368,63,2019
DET,Kenny Golladay,2017,WR,16,65,116,1190,18,11,75,22,74,1,1,301,52,2019
DAL,Amari Cooper,2015,WR,16,79,119,1189,15,8,53,17,74,0,0,245,54,2019
CAR,DJ Moore,2018,WR,15,87,135,1175,14,4,52,13,78,2,1,403,63,2019
CLE,Jarvis Landry,2014,WR,16,83,138,1174,14,6,65,20,73,0,0,440,55,2019
HOU,DeAndre Hopkins,2013,WR,15,104,150,1165,11,7,43,16,78,0,0,393,68,2019
LAR,Cooper Kupp,2017,WR,16,94,134,1161,12,10,66,21,73,3,0,547,51,2019
TB,Mike Evans,2014,WR,13,67,118,1157,17,8,67,17,89,0,0,276,54,2019
CHI,Allen Robinson,2014,WR,16,98,154,1147,12,7,49,15,72,0,0,279,63,2019
LAR,Robert Woods,2013,WR,15,90,139,1134,13,2,48,14,76,0,0,584,54,2019
MIN,Stefon Diggs,2015,WR,15,63,94,1130,18,6,66,20,75,4,3,308,41,2019
NE,Julian Edelman,#N/A,WR,16,100,153,1117,11,6,44,13,70,3,1,337,54,2019
DEN,Courtland Sutton,2018,WR,16,72,124,1112,15,6,70,18,70,2,0,363,50,2019
DAL,Michael Gallup,2018,WR,14,66,113,1107,17,6,62,18,79,0,0,343,50,2019
BUF,John Brown,2014,WR,15,72,115,1060,15,6,53,17,71,0,0,217,53,2019
SEA,Tyler Lockett,2015,WR,16,82,110,1057,13,8,44,15,66,1,0,314,53,2019
TEN,AJ Brown,2019,WR,16,52,84,1051,20,8,91,15,66,1,0,463,39,2019
CIN,Tyler Boyd,2016,WR,16,90,148,1046,12,5,47,12,65,2,2,358,51,2019
CLE,Odell Beckham,2014,WR,16,74,133,1035,14,4,89,16,65,0,0,331,44,2019
JAX,DJ Chark,2018,WR,15,73,118,1008,14,8,69,17,67,0,0,316,42,2019
LAC,Mike Williams,2017,WR,15,49,90,1001,20,2,56,17,67,0,0,219,41,2019
GB,Davante Adams,2014,WR,12,83,127,997,12,5,58,12,83,2,1,393,54,2019
WSH,Terry McLaurin,2019,WR,14,58,93,919,16,7,75,15,66,0,0,220,43,2019
SEA,DK Metcalf,2019,WR,16,58,100,900,16,7,54,13,56,3,3,278,39,2019
SF,Emmanuel Sanders,2010,WR,17,66,97,869,13,5,75,11,51,0,0,244,41,2019
ATL,Calvin Ridley,2018,WR,13,63,93,866,14,7,36,12,67,0,0,139,47,2019
KC,Tyreek Hill,#N/A,WR,12,58,89,860,15,7,57,11,72,0,0,276,39,2019
NYJ,Jamison Crowder,2015,WR,16,78,122,833,11,6,41,11,52,0,0,357,41,2019
DAL,Randall Cobb,2011,WR,15,55,83,828,15,3,59,15,55,2,1,343,41,2019
ARI,Larry Fitzgerald,#N/A,WR,16,75,109,804,11,4,54,10,50,1,1,358,40,2019
SF,Deebo Samuel,2019,WR,15,57,81,802,14,3,42,17,54,2,1,481,32,2019
DET,Marvin Jones,2012,WR,13,62,91,779,13,9,47,12,60,0,0,121,41,2019
NYJ,Robby Anderson,#N/A,WR,16,52,96,779,15,5,92,13,49,1,0,171,35,2019
BUF,Cole Beasley,#N/A,WR,15,67,106,778,12,6,51,10,52,0,0,344,37,2019
JAX,Chris Conley,2015,WR,16,47,90,775,17,5,70,13,48,0,0,253,36,2019
NYG,Darius Slayton,2019,WR,14,48,84,740,15,8,55,12,53,0,0,198,32,2019
PIT,James Washington,2018,WR,15,44,80,735,17,3,79,13,49,1,1,203,31,2019
ARI,Christian Kirk,2018,WR,13,68,107,709,10,3,69,6,55,0,0,291,31,2019
PIT,Diontae Johnson,2019,WR,16,59,92,680,12,5,45,7,43,3,1,307,31,2019
DET,Danny Amendola,#N/A,WR,15,62,97,678,11,1,47,6,45,0,0,218,36,2019
NYG,Golden Tate,2010,WR,11,49,85,676,14,6,64,10,62,1,1,289,30,2019
KC,Sammy Watkins,2014,WR,14,52,90,673,13,3,68,9,48,2,1,302,30,2019
HOU,Will Fuller,2016,WR,11,49,71,670,14,3,54,10,61,1,0,227,26,2019
JAX,Dede Westbrook,2017,WR,15,66,101,660,10,3,39,10,44,0,0,316,31,2019
CHI,Anthony Miller,2018,WR,16,52,85,656,13,2,35,11,41,0,0,227,34,2019
OAK,Tyrell Williams,#N/A,WR,14,42,64,651,16,6,46,12,47,0,0,204,33,2019
TB,Breshad Perriman,2015,WR,14,36,70,645,18,6,44,15,46,0,0,134,29,2019
CAR,Curtis Samuel,2017,WR,16,54,105,627,12,6,44,8,39,0,0,153,36,2019
IND,Zach Pascal,2017,WR,16,41,72,607,15,5,37,11,38,0,0,234,29,2019
OAK,Hunter Renfrow,2019,WR,13,49,71,605,12,4,65,7,47,0,0,327,31,2019
TEN,Corey Davis,2017,WR,15,43,69,601,14,2,38,10,40,1,0,211,33,2019
BAL,Marquise Brown,2019,WR,14,46,71,584,13,7,83,8,42,0,0,237,24,2019
LAR,Brandin Cooks,2014,WR,14,42,72,583,14,2,57,9,42,0,0,169,32,2019
NYG,Sterling Shepard,2016,WR,10,57,83,576,10,3,36,8,58,0,0,180,29,2019
CIN,Auden Tate,2018,WR,12,40,80,575,14,1,33,8,48,1,1,202,29,2019
HOU,Kenny Stills,2013,WR,13,40,55,561,14,4,45,9,43,0,0,141,27,2019
PIT,JuJu Smith-Schuster,2017,WR,12,42,70,552,13,3,76,7,46,1,1,243,23,2019
KC,Mecole Hardman,2019,WR,16,26,41,538,21,6,83,9,34,0,0,305,18,2019
CIN,Alex Erickson,#N/A,WR,16,43,78,529,12,0,52,5,33,1,0,230,26,2019
NE,Mohamed Sanu,2012,WR,15,59,89,520,9,2,28,3,35,0,0,193,30,2019
CIN,John Ross,2017,WR,8,28,56,506,18,3,66,10,63,1,1,200,22,2019
IND,TY Hilton,2012,WR,10,45,68,501,11,5,35,6,50,0,0,213,24,2019
PHI,Alshon Jeffery,2012,WR,10,43,73,490,11,4,38,6,49,0,0,133,36,2019
GB,Allen Lazard,2018,WR,16,35,52,477,14,3,43,6,30,0,0,145,24,2019
GB,Marquez Valdes-Scantling,2018,WR,16,26,56,452,17,2,74,7,28,0,0,152,14,2019
KC,Demarcus Robinson,2016,WR,16,32,55,449,14,4,44,7,28,0,0,105,19,2019
ATL,Russell Gage,#N/A,WR,16,49,74,446,9,1,19,0,28,0,0,167,25,2019
ATL,Julio Jones,2011,WR,16,113,170,1677,15,8,58,24,105,2,2,448,80,2018
HOU,DeAndre Hopkins,2013,WR,16,115,163,1572,14,11,49,23,98,2,2,348,81,2018
